,precio,ubicacion,detalles
0,$ 5.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 120 m²"
1,$ 1.900.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 24 m²"
2,$ 18.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 5 baños, 545 m²"
3,$ 4.700.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2,5 baños, 117 m²"
4,$ 18.350.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3,5 baños, 277 m²"
5,$ 2.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 1 baño, 64 m²"
6,$ 3.650.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 64 m²"
7,$ 4.500.000/mes,"Bogotá, Bogotá","4 habitaciones, 3 baños, 198 m²"
8,$ 3.700.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 110 m²"
9,$ 3.000.000/mes,"Bogotá, Bogotá","5 habitaciones, 4 baños, 154 m²"
10,$ 5.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 5 baños, 134 m²"
11,$ 5.000.000/mes,"Bogotá, Bogotá","9 habitaciones, 5 baños, 109 m²"
12,$ 23.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 6 baños, 460 m²"
13,$ 17.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 4 baños, 300 m²"
14,$ 6.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 2,5 baños, 125 m²"
15,$ 8.500.000/mes,"Bogotá, Bogotá","4 habitaciones, 4 baños"
16,$ 11.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 157 m²"
17,$ 13.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2,5 baños, 270 m²"
18,$ 2.150.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 64 m²"
19,$ 5.600.000/mes,"Bogotá, Bogotá","2 habitaciones, 3,5 baños, 130 m²"
20,$ 25.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 6,5 baños, 360 m²"
21,$ 11.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 200 m²"
22,$ 8.500.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 234 m²"
23,$ 19.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 247 m²"
24,$ 8.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 100 m²"
25,$ 20.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 6 baños, 380 m²"
26,$ 4.500.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 2,5 baños, 69 m²"
27,$ 15.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 5 baños, 274 m²"
28,$ 8.000.000/mes,"Bogotá, Bogotá","2 habitaciones, 2,5 baños, 120 m²"
29,$ 10.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 193 m²"
30,$ 4.900.000/mes,"Bogotá, D.C., Bogotá, D.C.","2 habitaciones, 2 baños, 85 m²"
31,$ 4.800.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 52 m²"
32,$ 2.000.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 26 m²"
33,$ 14.000.000/mes,"Bogotá, D.C., Bogotá, D.C.","3 habitaciones, 3,5 baños, 150 m²"
34,$ 11.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 4,5 baños, 170 m²"
35,$ 14.000.000/mes,"Bogotá, D.C., Bogotá, D.C.","3 habitaciones, 2,5 baños, 150 m²"
36,$ 5.700.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 100 m²"
37,$ 5.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 4 baños, 187 m²"
38,$ 2.300.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
39,$ 1.800.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
40,$ 8.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 203 m²"
41,$ 1.900.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
42,$ 6.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 2,5 baños, 120 m²"
43,$ 3.900.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 102 m²"
44,$ 2.100.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
45,$ 9.600.000/mes,"Bogotá, Bogotá","3 habitaciones, 4,5 baños, 262 m²"
46,$ 2.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 85 m²"
47,$ 1.700.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 47 m²"
48,$ 2.200.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
49,$ 1.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 1 baño, 40 m²"
50,$ 1.600.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño"
51,$ 1.700.000/mes,"Bogotá, Bogotá","2 habitaciones, 1 baño, 50 m²"
52,$ 5.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2,5 baños, 86 m²"
53,$ 6.221.600/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 120 m²"
54,$ 6.720.000/mes,"Bogotá, D.C., El Bagazal","3 habitaciones, 3 baños, 168 m²"
55,$ 5.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 154 m²"
56,$ 15.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 6 baños, 460 m²"
57,$ 2.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 2 baños, 100 m²"
58,$ 8.400.000/mes,"Bogotá, D.C., Bogotá, D.C.","3 habitaciones, 3 baños, 131 m²"
59,$ 9.500.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 330 m²"
60,$ 13.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3 baños, 200 m²"
61,$ 15.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 290 m²"
62,$ 7.000.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 109 m²"
63,$ 2.000.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 25 m²"
64,$ 13.000.000/mes,"Bogotá, Bogotá","3 habitaciones, 5 baños, 220 m²"
65,$ 7.350.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 93 m²"
66,$ 8.450.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 93 m²"
